name,answer,prompt
Controlnet\012-1.png,"A red double - decker bus travels on a winding road. Behind it are misty, rocky hills. In a realistic style, shot from a side angle, with a warm - toned, high - quality color atmosphere. ",A red bus is driving on the road.Vehicles.Simple Detail
Controlnet\012-2.png,"A classic red double - decker bus in realistic style, viewed from a slightly low shooting angle. The sky is dramatic with yellow - tinged clouds, creating a warm yet dynamic color atmosphere. ",A red bus is driving on the road.Vehicles.Simple Detail
Controlnet\012-3.png,"A black double - decker bus on a road, with a tree bearing yellow leaves and a red barrier beside. In an abstract style, shot from a front - side angle, with a muted color atmosphere. ",A red bus is driving on the road.Vehicles.Simple Detail
Controlnet\012-4.png,"A classic red double - decker bus travels on a road. Behind it are green hills and rocky cliffs. In a realistic style, shot from a side - on angle, with a bright, natural color atmosphere. ",A red bus is driving on the road.Vehicles.Simple Detail
Controlnet\013-1.png,"A light - brown teddy bear with a red bow tie sits on a red - edged skateboard. In a realistic style, shot from a slight low - angle, with a warm, soft color atmosphere and high quality. ",a teddy bear on a skateboard.Artifacts.Simple Detail
Controlnet\013-2.png,"A plush teddy bear stands on a red skateboard, holding a small colorful skateboard. In realistic style, shot from a slightly low - angle, with a neutral color atmosphere and high - quality details. ",a teddy bear on a skateboard.Artifacts.Simple Detail
Controlnet\013-3.png,"A brown teddy bear with a white - muzzled face is seated on a skateboard, one arm outstretched. In realistic style, taken from a low shooting angle, with a warm, cozy color atmosphere and high quality. ",a teddy bear on a skateboard.Artifacts.Simple Detail
Controlnet\013-4.png,"A plush teddy bear with a red scarf sits on a colorful skateboard. In realistic style, from a slightly low - angle shot, with soft, natural lighting creating a cozy atmosphere. ",a teddy bear on a skateboard.Artifacts.Simple Detail
Controlnet\014-1.png,"A vibrant orange pumpkin with a green - tipped stem sits against rustic wooden planks. In realistic style, shot from a slight angle, with warm, earthy color atmosphere and high - quality detail. ",a pumpkin with a candle in it.Produce & Plants.Simple Detail
Controlnet\014-2.png,"A carved pumpkin lantern with a spooky face, lit from within. In realistic style, shot from a low - angle. Warm, orange - hued glow against a rustic, brown, straw - filled background. ",a pumpkin with a candle in it.Produce & Plants.Simple Detail
Controlnet\014-3.png,"A carved orange pumpkin with a classic jack - o'- lantern face, lit from within. Realistic style, shot from a slightly elevated front angle. Warm, spooky color atmosphere, high - quality detail. ",a pumpkin with a candle in it.Produce & Plants.Simple Detail
Controlnet\014-4.png,"A carved pumpkin with a spooky face, glowing from within. Realistic style. Shot from a slightly elevated front - on angle. Warm, autumnal color atmosphere, high - quality details. ",a pumpkin with a candle in it.Produce & Plants.Simple Detail
Controlnet\015-1.png,"A bowl of chicken - noodle soup with slices of lime, fresh cilantro, and tender chicken. Realistic style, shot from above. Soft, appetizing colors with high - quality detail. ",A bowl of Chicken Pho.Food & Beverage.Simple Detail
Controlnet\015-2.png,"A bowl of chicken - based noodle soup with sliced chicken, green onions, cilantro and lime wedges on the side. Realistic style, top - down shooting angle, warm and appetizing color atmosphere. ",A bowl of Chicken Pho.Food & Beverage.Simple Detail
Controlnet\015-3.png,"A bowl of noodle soup with tender chicken slices, cilantro, green onions, and red chili slices. In realistic style, shot from above, with a fresh - toned, appetizing color atmosphere. ",A bowl of Chicken Pho.Food & Beverage.Simple Detail
Controlnet\015-4.png,"A bowl of pho with tender shredded meat, lime wedges, cilantro, chili slices, and noodles in a clear broth. Realistic style, top - down shot, vibrant and appetizing color atmosphere. ",A bowl of Chicken Pho.Food & Beverage.Simple Detail
Controlnet\016-1.png,"A heart - shaped arrangement of assorted, textured pieces in warm reds and browns. Realistic style, shot from a flat - on angle, with a neutral gray background creating a simple, clear atmosphere. ",A heart made of chocolate.Illustrations.Simple Detail
Controlnet\016-2.png,"A heart - shaped arrangement of dark chocolate pieces interspersed with orange ones. In a realistic style, shot from above on a dark background, with a rich, appetizing color atmosphere and high - quality detail. ",A heart made of chocolate.Illustrations.Simple Detail
Controlnet\016-3.png,"A heart - shaped box filled with assorted chocolate candies in various shapes and designs. One heart - shaped chocolate lies outside. Realistic style, shot from an angled top - down view, with a neutral color atmosphere. ",A heart made of chocolate.Illustrations.Simple Detail
Controlnet\016-4.png,"A heart - shaped chocolate dessert is filled with rich, textured chocolate and adorned with colorful heart - shaped candies. In a realistic style, shot from above, with a warm, appetizing color atmosphere. ",A heart made of chocolate.Illustrations.Simple Detail
Controlnet\017-1.png,"A sleek, white coffee table holds a vase with pale - pink peonies and a magazine. Behind it, a white tufted sofa has dark and light pillows. Realistic style, frontal angle, warm and inviting color atmosphere. ",a coffee table with a magazine on it.Indoor Scenes.Simple Detail
Controlnet\017-2.png,"A modern coffee table with a sleek metal frame and glass top holds several magazines. Placed between light - gray sofas on a patterned rug, in a realistic style with a neutral color atmosphere. ",a coffee table with a magazine on it.Indoor Scenes.Simple Detail
Controlnet\017-3.png,"A light - gray coffee table holds several open magazines. Beneath it are more stacked magazines. Behind is a gray sectional with colorful pillows. Realistic style, from a slightly elevated angle, warm and cozy. ",a coffee table with a magazine on it.Indoor Scenes.Simple Detail
Controlnet\017-4.png,"A modern - styled wooden coffee table with a floating design holds an open magazine. Below, more magazines are neatly stacked. Against a cozy, neutral - toned sofa with plush pillows. Realistic style, side - on angle. ",a coffee table with a magazine on it.Indoor Scenes.Simple Detail
Controlnet\018-1.png,"A setting sun dips below a cloudy sky, casting a warm glow over a calm sea. In realistic style, shot from a horizontal angle, with a rich, fiery - hued color atmosphere and high quality. ",Sunset over the sea.Outdoor Scenes.Simple Detail
Controlnet\018-2.png,"A beach scene at sunset with vibrant orange - red clouds in a purple - blue sky. Turquoise sea with gentle waves and a sandy shore below. Realistic style, wide - angle shot, warm color atmosphere. ",Sunset over the sea.Outdoor Scenes.Simple Detail
Controlnet\018-3.png,"A beach scene at sunset. Vivid water - color sky in hues of orange, purple, and yellow above a sea with gentle waves lapping at a sandy shore. Realistic, serene, and colorful. ",Sunset over the sea.Outdoor Scenes.Simple Detail
Controlnet\018-4.png,"A sunset over a body of water, with vibrant hues of orange, pink, and purple. In an abstract - style, seen from a horizontal perspective, creating a warm and dreamy color atmosphere with textured quality. ",Sunset over the sea.Outdoor Scenes.Simple Detail
Controlnet\019-1.png,"A Venetian canal flanked by colorful buildings with green shutters. A blue gondola floats on the turquoise - hued water. Realistic style, eye - level angle, warm and vibrant color atmosphere. ",a boat in the canals of venice.World Knowledge.Simple Detail
Controlnet\019-2.png,"A gondola with red and white cushions floats on a green - hued canal between colorful buildings. In a vibrant, realistic style, shot from a low angle, the scene has a rich, warm color atmosphere. ",a boat in the canals of venice.World Knowledge.Simple Detail
Controlnet\019-3.png,"A gondola with a blue cover floats on a vibrant, turquoise - hued canal. Colorful buildings with flower boxes line the water. In an anime - inspired, vivid style, shot at eye - level. ",a boat in the canals of venice.World Knowledge.Simple Detail
Controlnet\019-4.png,"A vibrant Venetian canal with colorful buildings on either side. Gondolas float on the water, which shimmers with hues of green and purple. In a realistic - like, slightly stylized style, from a horizontal perspective. ",a boat in the canals of venice.World Knowledge.Simple Detail
Controlnet\020-1.png,"A white - furred donkey faces a fantastical, tentacled creature. In a realistic style with a side - on shooting angle, earthy tones create a strange, somewhat tense atmosphere. ",A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope..Animals.Complex
Controlnet\020-2.png,"A large, stylized donkey with a rope in its mouth stands on a wooden surface. A small, similarly - styled toy donkey is at its feet. Realistic style, side - on shooting angle, muted color atmosphere. ",A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope..Animals.Complex
Controlnet\020-3.png,"A small creature with a blue band plays a horn - like object near a large, gentle - looking animal. In a whimsical, anime - style with a soft color palette and a frontal shooting angle. ",A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope..Animals.Complex
Controlnet\020-4.png,"A donkey and a small goat - like creature are in water, both tugging at an octopus tentacle. Realistic style, low - angle shot, with a vivid and natural color atmosphere, high - quality detail. ",A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope..Animals.Complex
Controlnet\021-1.png,"An elderly woman in a purple dress reads a book with a child. In a realistic style, from a slightly angled - up shooting angle, with warm, soft color tones and high - quality detail. ",a grandmother reading a book to her grandson and granddaughter.People.Complex
Controlnet\021-2.png,"Two elderly women and a child sit on a couch. They're closely looking at an open book. Realistic style, shot from a slight side - angle. Warm, cozy color atmosphere, high - quality image. ",a grandmother reading a book to her grandson and granddaughter.People.Complex
Controlnet\021-3.png,"An elderly woman sits between a young Black girl in a green sweater and a young White boy in a purple shirt, all focused on a colorful storybook. Realistic style, soft - lit, warm color atmosphere. ",a grandmother reading a book to her grandson and granddaughter.People.Complex
Controlnet\021-4.png,"Two elderly women in pink and purple sit on a couch with a young child in a turquoise shirt. They all look at photo - filled books. Realistic style, frontal shooting, warm color atmosphere. ",a grandmother reading a book to her grandson and granddaughter.People.Complex
Controlnet\022-1.png,"Two blue semi - trucks on a road with green trees in the background. In realistic style, shot from a side - on angle. Clear blue sky gives a bright, clean color atmosphere. High - quality image. ",a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. .Vehicles.Complex
Controlnet\022-2.png,"On a highway, a blue semi - truck with trailer is surrounded by other vehicles. In realistic style, taken from an elevated angle. Colors are vivid with a clear, bright atmosphere. ",a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. .Vehicles.Complex
Controlnet\022-3.png,"On a road, vibrant blue trucks and motorcycles are seen. A red object lies on the sandy - edged roadside. In realistic style, shot from a low angle, with a bright and dynamic color atmosphere. ",a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. .Vehicles.Complex
Controlnet\022-4.png,"On a highway, several blue - and - silver semi - trucks drive. Lush green trees line the road. In a realistic style, shot from a side - on angle, with a clear, bright color atmosphere and high quality. ",a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. .Vehicles.Complex
Controlnet\023-1.png,"A cat in a vintage - styled suit stands next to a red can, a block of cheese floating nearby. In a retro - realistic style, shot from a frontal angle, with a warm, nostalgic color atmosphere. ",a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese.Artifacts.Complex
Controlnet\023-2.png,"A person in a colorful, historic - style uniform holds a white cat. They also hold a piece of bread. In a realistic style, shot front - on with a warm, classic color atmosphere. ",a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese.Artifacts.Complex
Controlnet\023-3.png,"A white - and - black cat sits on a green surface beside a golden cup with cheese. Text above reads ""NOFASOPOZ"". Style is vintage, shooting angle is frontal, with a warm color atmosphere. ",a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese.Artifacts.Complex
Controlnet\023-4.png,"A man in a historical military - style red coat with gold and blue accents holds a tabby cat that sits on a piece of cheese. In a realistic style, shot front - on, with a soft, warm color atmosphere. ",a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese.Artifacts.Complex
Controlnet\024-1.png,"A car's side - view mirror reflects leafless trees under a clear sky. The car's textured blue surface surrounds the mirror. Realistic style, close - up shooting, with a calm color atmosphere and high quality. ",a tree reflected in the sunroof of a blue car.Produce & Plants.Complex
Controlnet\024-2.png,"A sleek blue car with a sunroof is seen from a top - down angle on a concrete surface. Realistic style, with vibrant blue and neutral tones creating a clean, high - quality look. ",a tree reflected in the sunroof of a blue car.Produce & Plants.Complex
Controlnet\024-3.png,"A tree with yellow - orange foliage is reflected in a shiny, curved surface. Realistic style, shot from a low upward angle. Vivid colors under a clear blue sky, high - quality image. ",a tree reflected in the sunroof of a blue car.Produce & Plants.Complex
Controlnet\024-4.png,"A tilted view of a sky with fluffy white clouds against a gradient of blue - green hues. On the right, leafless trees with purple - tinted branches. Realistic style with a dreamy color atmosphere. ",a tree reflected in the sunroof of a blue car.Produce & Plants.Complex
Controlnet\025-1.png,"Two beer mugs filled with frothy beer sit on a wooden surface. Behind them are two whole pineapples, and a sliced - open pineapple piece is also visible. Realistic style, front - on angle, warm color atmosphere. ",a pineapple with one beer to its left and two beers on its right.Food & Beverage.Complex
Controlnet\025-2.png,"On a green - toned surface, there's a frothy, pale - hued drink in a rounded glass with a mint leaf, and a tall glass of golden beer. Realistic style, side - on angle, warm - cool color mix, high - quality. ",a pineapple with one beer to its left and two beers on its right.Food & Beverage.Complex
Controlnet\025-3.png,"A large, detailed pineapple stands on a sandy beach with the sea and sky in the background. In a realistic style, shot front - on, with a warm, summery color atmosphere. ",a pineapple with one beer to its left and two beers on its right.Food & Beverage.Complex
Controlnet\025-4.png,"A ripe pineapple, a bottle of beer with ""HIDE"" label, and three glasses of frothy beer on a wooden surface. Realistic style, frontal shooting, warm - toned color atmosphere, high - quality image. ",a pineapple with one beer to its left and two beers on its right.Food & Beverage.Complex
Controlnet\026-1.png,"A grid of colorful emoji - like faces with various expressions. In an abstract style, shot from a flat - on angle. Vivid colors create a lively and energetic atmosphere. ","A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats..Illustrations.Complex"
Controlnet\026-2.png,"A grid of colorful emoji - shaped buttons with various expressions. In realistic style, shot from above. Vivid colors create a lively and playful atmosphere, high - quality details. ","A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats..Illustrations.Complex"
Controlnet\026-3.png,"Five colorful, round objects with emoji - like faces in hues of pink, blue, yellow. In an anime - style, shot from a slight angle, with a bright and cheerful color atmosphere and high - quality rendering. ","A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats..Illustrations.Complex"
Controlnet\026-4.png,"Colorful macarons with emoji - like faces are arranged closely. In a realistic style, shot from above. Vivid colors create a cheerful, whimsical atmosphere with high - quality details. ","A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats..Illustrations.Complex"
Controlnet\027-1.png,"A cozy living room features a tan leather sofa with cushions, a framed corgi - in - mask artwork on the wall, plants, a round coffee table with flowers, in a realistic style, shot from a medium angle with a warm color atmosphere. ",A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table.Indoor Scenes.Complex
Controlnet\027-2.png,"A cozy living room with a brown velvet sofa adorned with various cushions. A large framed dog portrait hangs on the wall. Plants and a vase with purple flowers add charm. Realistic style, from a frontal angle with warm tones. ",A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table.Indoor Scenes.Complex
Controlnet\027-3.png,"A cozy living room features a tufted gray sofa with cushions, a round coffee table holding a flower vase, an armchair, and a framed corgi painting on the wall. Realistic style, eye - level shot, warm color tone. ",A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table.Indoor Scenes.Complex
Controlnet\027-4.png,"A cozy living room scene with a brown velvet sofa, a round coffee table holding vases of pink flowers and items. A framed corgi art on the wall, in a realistic - style, shot from a slightly elevated angle with a warm color atmosphere. ",A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table.Indoor Scenes.Complex
Controlnet\028-1.png,"Snow - capped mountains rise behind a forest frosted in snow. A calm lake below mirrors the scene. Realistic style, from a horizontal angle, with a crisp, cool blue - toned color atmosphere. ",Snow mountain and tree reflection in the lake.Outdoor Scenes.Complex
Controlnet\028-2.png,"A snow - capped mountain looms over a forest by a serene lake. Clouds float above, their colors reflected in the water. In an abstract - like style, shot from a horizontal perspective with vivid colors. ",Snow mountain and tree reflection in the lake.Outdoor Scenes.Complex
Controlnet\028-3.png,"Snow - covered mountains and dense forests line a serene lake. Its clear, turquoise water mirrors the landscape. In a realistic style, shot from a horizontal angle, with a calm, cool color atmosphere. ",Snow mountain and tree reflection in the lake.Outdoor Scenes.Complex
Controlnet\028-4.png,"Snow - capped mountains tower over a forest blanketed in white. A small cabin sits by a calm lake reflecting the scene. In infrared style, with a serene, monochrome - tinged color atmosphere. Shot from a mid - distance angle. ",Snow mountain and tree reflection in the lake.Outdoor Scenes.Complex
Controlnet\029-1.png,"The Sydney Opera House is depicted with its iconic shells under a sky filled with large, glowing yellow stars. In an abstract - style, with a horizontal shooting angle and warm - cool color contrast. ","An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu.World Knowledge.Complex"
Controlnet\029-2.png,"The Eiffel Tower and Sydney Opera House are depicted within an arched frame. In an abstract - style with vivid colors like blue, yellow, and red, a high - quality, angled view creates a dynamic atmosphere. ","An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu.World Knowledge.Complex"
Controlnet\029-3.png,"The Sydney Opera House is depicted with a golden - hued glow. Large blue stars and a bright white star adorn the sky, in an anime - style with a vibrant, dreamy color atmosphere. ","An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu.World Knowledge.Complex"
Controlnet\029-4.png,"Anime - styled depiction of Sydney's Harbour Bridge and Opera House under a star - filled, colorful sky. Viewed from a slightly elevated angle, with a vivid and dreamy color atmosphere. ","An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu.World Knowledge.Complex"
Controlnet\030-1.png,"A plush toy in a detailed astronaut suit floats in space. Sci - fi style with a side - on shooting angle. Vivid colors create a dreamy, high - quality atmosphere. ",a dolphin in an astronaut suit on saturn.Animals.Fine-grained Detail
Controlnet\030-2.png,"A sleek, futuristic spaceship with wing - like structures floats in space near a gas giant with rings and a blue moon. Sci - fi style, wide - angle shot, cool color atmosphere, high - quality. ",a dolphin in an astronaut suit on saturn.Animals.Fine-grained Detail
Controlnet\030-3.png,"An astronaut in a white spacesuit floats in space, with Earth's curvature and a purple - hued sky in the background. In a realistic style, shot from a side angle with a serene color atmosphere. ",a dolphin in an astronaut suit on saturn.Animals.Fine-grained Detail
